Data,USD_BRL,Dia,Mes,Ano
2019-12-31,4.02,31,12,2019
2019-12-30,4.02,30,12,2019
2019-12-27,4.05,27,12,2019
2019-12-26,4.06,26,12,2019
2019-12-25,4.08,25,12,2019
2019-12-24,4.08,24,12,2019
2019-12-23,4.08,23,12,2019
2019-12-20,4.1,20,12,2019
2019-12-19,4.07,19,12,2019
2019-12-18,4.06,18,12,2019
2019-12-17,4.07,17,12,2019
2019-12-16,4.06,16,12,2019
2019-12-13,4.11,13,12,2019
2019-12-12,4.09,12,12,2019
2019-12-11,4.12,11,12,2019
2019-12-10,4.15,10,12,2019
2019-12-09,4.14,9,12,2019
2019-12-06,4.14,6,12,2019
2019-12-05,4.19,5,12,2019
2019-12-04,4.21,4,12,2019
2019-12-03,4.21,3,12,2019
2019-12-02,4.22,2,12,2019
2019-11-29,4.24,29,11,2019
2019-11-28,4.19,28,11,2019
2019-11-27,4.26,27,11,2019
2019-11-26,4.23,26,11,2019
2019-11-25,4.23,25,11,2019
2019-11-22,4.2,22,11,2019
2019-11-21,4.19,21,11,2019
2019-11-20,4.2,20,11,2019
2019-11-19,4.19,19,11,2019
2019-11-18,4.22,18,11,2019
2019-11-15,4.2,15,11,2019
2019-11-14,4.2,14,11,2019
2019-11-13,4.17,13,11,2019
2019-11-12,4.17,12,11,2019
2019-11-11,4.15,11,11,2019
2019-11-08,4.16,8,11,2019
2019-11-07,4.1,7,11,2019
2019-11-06,4.08,6,11,2019
2019-11-05,3.99,5,11,2019
2019-11-04,4.02,4,11,2019
2019-11-01,3.99,1,11,2019
2019-10-31,4.02,31,10,2019
2019-10-30,3.99,30,10,2019
2019-10-29,4.0,29,10,2019
2019-10-28,3.99,28,10,2019
2019-10-25,4.0,25,10,2019
2019-10-24,4.04,24,10,2019
2019-10-23,4.03,23,10,2019
2019-10-22,4.08,22,10,2019
2019-10-21,4.13,21,10,2019
2019-10-18,4.11,18,10,2019
2019-10-17,4.16,17,10,2019
2019-10-16,4.15,16,10,2019
2019-10-15,4.18,15,10,2019
2019-10-14,4.13,14,10,2019
2019-10-11,4.11,11,10,2019
2019-10-10,4.11,10,10,2019
2019-10-09,4.11,9,10,2019
2019-10-08,4.1,8,10,2019
2019-10-07,4.11,7,10,2019
2019-10-04,4.06,4,10,2019
2019-10-03,4.08,3,10,2019
2019-10-02,4.13,2,10,2019
2019-10-01,4.16,1,10,2019
2019-09-30,4.16,30,9,2019
2019-09-27,4.16,27,9,2019
2019-09-26,4.17,26,9,2019
2019-09-25,4.15,25,9,2019
2019-09-24,4.16,24,9,2019
2019-09-23,4.16,23,9,2019
2019-09-20,4.15,20,9,2019
2019-09-19,4.17,19,9,2019
2019-09-18,4.11,18,9,2019
2019-09-17,4.08,17,9,2019
2019-09-16,4.08,16,9,2019
2019-09-13,4.08,13,9,2019
2019-09-12,4.06,12,9,2019
2019-09-11,4.07,11,9,2019
2019-09-10,4.08,10,9,2019
2019-09-09,4.1,9,9,2019
2019-09-06,4.06,6,9,2019
2019-09-05,4.11,5,9,2019
2019-09-04,4.1,4,9,2019
2019-09-03,4.17,3,9,2019
2019-09-02,4.19,2,9,2019
2019-08-30,4.15,30,8,2019
2019-08-29,4.17,29,8,2019
2019-08-28,4.17,28,8,2019
2019-08-27,4.13,27,8,2019
2019-08-26,4.16,26,8,2019
2019-08-23,4.12,23,8,2019
2019-08-22,4.07,22,8,2019
2019-08-21,4.03,21,8,2019
2019-08-20,4.05,20,8,2019
2019-08-19,4.07,19,8,2019
2019-08-16,4.01,16,8,2019
2019-08-15,3.99,15,8,2019
2019-08-14,4.05,14,8,2019
2019-08-13,3.97,13,8,2019
2019-08-12,3.99,12,8,2019
2019-08-09,3.94,9,8,2019
2019-08-08,3.92,8,8,2019
2019-08-07,3.97,7,8,2019
2019-08-06,3.96,6,8,2019
2019-08-05,3.98,5,8,2019
